all_time: 2633.4688143730164, write_cfg_time: 0.029608488082885742, compile_time: 2180.709984779358, exec_time: 9.220318999999995
all_time: 2656.561225414276, write_cfg_time: 0.029860496520996094, compile_time: 2200.628264427185, exec_time: 9.223637999999994
all_time: 2681.048887491226, write_cfg_time: 0.03009200096130371, compile_time: 2222.0466508865356, exec_time: 9.326549999999994
all_time: 2707.298772096634, write_cfg_time: 0.030350446701049805, compile_time: 2241.658674478531, exec_time: 9.356911999999994
all_time: 2729.238780975342, write_cfg_time: 0.03056025505065918, compile_time: 2260.972398519516, exec_time: 9.361300999999994
all_time: 2753.348128080368, write_cfg_time: 0.03079986572265625, compile_time: 2281.6110088825226, exec_time: 9.390707999999995
all_time: 2777.6771574020386, write_cfg_time: 0.03103947639465332, compile_time: 2301.4254693984985, exec_time: 9.393916999999995
all_time: 2800.9046828746796, write_cfg_time: 0.03127717971801758, compile_time: 2320.944784641266, exec_time: 9.623615999999995
all_time: 2822.509817123413, write_cfg_time: 0.03149843215942383, compile_time: 2340.13689494133, exec_time: 9.626810999999995
all_time: 2844.0674550533295, write_cfg_time: 0.03170037269592285, compile_time: 2359.648913860321, exec_time: 9.630011999999995
all_time: 2868.4422748088837, write_cfg_time: 0.03204655647277832, compile_time: 2379.3816916942596, exec_time: 9.831486999999996
all_time: 2891.0546746253967, write_cfg_time: 0.03229713439941406, compile_time: 2398.8378343582153, exec_time: 9.834951999999996
all_time: 2917.024122238159, write_cfg_time: 0.0326690673828125, compile_time: 2418.613265991211, exec_time: 9.846712999999996
all_time: 2942.32017827034, write_cfg_time: 0.03297162055969238, compile_time: 2438.109184026718, exec_time: 9.908812999999995
all_time: 2965.5475895404816, write_cfg_time: 0.033304691314697266, compile_time: 2458.175869703293, exec_time: 9.916114999999994
all_time: 2992.3023738861084, write_cfg_time: 0.03354692459106445, compile_time: 2478.938704967499, exec_time: 10.526000999999994
all_time: 3018.244756937027, write_cfg_time: 0.03381681442260742, compile_time: 2498.3541946411133, exec_time: 10.529235999999994
all_time: 3041.033210992813, write_cfg_time: 0.03406572341918945, compile_time: 2518.2397742271423, exec_time: 10.532510999999994
all_time: 3066.820045232773, write_cfg_time: 0.0343480110168457, compile_time: 2537.645486354828, exec_time: 10.535707999999994
all_time: 3089.5649490356445, write_cfg_time: 0.03455924987792969, compile_time: 2557.0326964855194, exec_time: 10.538966999999994
all_time: 3114.9105150699615, write_cfg_time: 0.034829139709472656, compile_time: 2578.0688519477844, exec_time: 10.548563999999994
all_time: 3140.210576057434, write_cfg_time: 0.035166263580322266, compile_time: 2597.8827805519104, exec_time: 10.696576999999994
all_time: 3165.830018758774, write_cfg_time: 0.03546738624572754, compile_time: 2617.8477709293365, exec_time: 10.809644999999994
