komarix-imdb DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.1947007179260254, 0.000777
moreno_blogs DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.45621609687805176, 0.00037
opsahl-usairport DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.35617589950561523, 0.000422
patentcite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 3.155503988265991, 0.008128
petster-friendships-dog DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.391669511795044, 0.030089
roadNet-CA DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.8730766773223877, 0.002201
subelj_cora DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.5229263305664062, 0.000427
sx-mathoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.3623921871185303, 0.000634
youtube-groupmemberships DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.3961021900177002, 0.001728
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.165254831314087, 0.00367
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.19904875755310059, 0.000274
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.25749993324279785, 0.000542
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5192620754241943, 0.00387
douban DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2128148078918457, 0.000228
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.21538949012756348, 0.000305
github DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2148122787475586, 0.000232
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2874915599822998, 0.000415
