github DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5397837162017822, 0.000639
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7402176856994629, 0.002286
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.556084394454956, 0.000325
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.47721052169799805, 0.000349
patentcite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.372647762298584, 0.019335
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.0726900100708008, 0.008165
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7451977729797363, 0.004179
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3830437660217285, 0.00034
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6592833995819092, 0.000494
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5578172206878662, 0.000778
sx-stackoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.7858171463012695, 0.188597
dblp-cite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5233852863311768, 0.000434
dbpedia-team DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6396489143371582, 0.003
dimacs9-E DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8678879737854004, 0.009982
douban DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5445590019226074, 0.000951
facebook-wosn-wall DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4815406799316406, 0.000582
github DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3949625492095947, 0.001564
komarix-imdb DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5874998569488525, 0.002436
moreno_blogs DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.42816781997680664, 0.000611
opsahl-usairport DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5358877182006836, 0.00097
patentcite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.8289518356323242, 0.107018
petster-friendships-dog DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9954874515533447, 0.008664
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6913235187530518, 0.004269
subelj_cora DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5275547504425049, 0.000424
sx-mathoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6764659881591797, 0.001491
youtube-groupmemberships DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3896467685699463, 0.000853
