dblp-cite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5934708118438721, 0.000692
dbpedia-team DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7378015518188477, 0.000231
dimacs9-E DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 13.197691917419434, 0.176718
douban DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5428357124328613, 0.000753
facebook-wosn-wall DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.32512784004211426, 7.7e-05
github DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7961990833282471, 0.000991
komarix-imdb DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5755422115325928, 0.00085
moreno_blogs DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.41687750816345215, 0.000365
opsahl-usairport DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.42014527320861816, 0.000464
patentcite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7633800506591797, 0.000188
petster-friendships-dog DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5793771743774414, 0.003036
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9237754344940186, 0.001591
subelj_cora DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8068244457244873, 0.001582
sx-mathoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.49399304389953613, 0.000532
youtube-groupmemberships DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.48679041862487793, 0.000952
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.47846484184265137, 0.001346
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.3515474796295166, 7.8e-05
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5030176639556885, 5.7e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.6188335418701172, 0.000799
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.43523287773132324, 0.000215
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.524573564529419, 0.001824
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.7703754901885986, 7.4e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.44106316566467285, 0.000994
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.7205204963684082, 0.005405
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.0376293659210205, 0.101576
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4138655662536621, 0.001945
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5374014377593994, 0.000139
dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.5964133739471436, 0.137611
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5741012096405029, 0.00162
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4485306739807129, 6e-05
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5114352703094482, 0.003233
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.660064697265625, 0.002949
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4939897060394287, 0.001244
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.29453444480895996, 0.000649
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6799037456512451, 0.00015
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.7427208423614502, 0.000247
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5782425403594971, 0.001135
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4081261157989502, 0.001073
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4973926544189453, 0.003382
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6341328620910645, 0.002507
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 7.907180309295654, 0.064795
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 1.0630559921264648, 0.000128
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.6601262092590332, 0.000549
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 20.965841054916382, 1.18485
douban ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5648019313812256, 0.000136
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.30480074882507324, 7.9e-05
github ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.6441586017608643, 0.000569
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.7543561458587646, 0.006757
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.40967845916748047, 0.000353
opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.40939831733703613, 0.000745
patentcite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 3.0502750873565674, 0.00076
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.9513640403747559, 0.004425
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5242722034454346, 0.000246
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.33304381370544434, 0.000528
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.36416149139404297, 0.001686
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.43439340591430664, 0.000815
sx-stackoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 7.173919677734375, 0.047294
dblp-cite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7243015766143799, 0.001042
dbpedia-team DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.3922300338745117, 0.003889
dimacs9-E DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 74.96072387695312, 5.17955
douban DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.6985070705413818, 0.001016
facebook-wosn-wall DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.4943845272064209, 0.000101
github DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.552776575088501, 0.003504
komarix-imdb DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.41312384605407715, 0.00188
moreno_blogs DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.20857667922973633, 0.000821
opsahl-usairport DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.4439370632171631, 0.001155
patentcite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 3.3596761226654053, 0.001052
petster-friendships-dog DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.3088300228118896, 0.00591
roadNet-CA DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7934310436248779, 0.005356
subelj_cora DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.23238754272460938, 0.002279
sx-mathoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.24883556365966797, 0.000893
youtube-groupmemberships DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.6946001052856445, 0.007553
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 7.611319065093994, 0.068318
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.3014047145843506, 0.000105
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.30435633659362793, 0.000562
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 20.756778240203857, 1.02636
douban ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.38779568672180176, 0.000735
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.38863563537597656, 0.000914
github ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4437530040740967, 0.000197
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5981342792510986, 0.001802
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.27848076820373535, 0.00036
opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4797515869140625, 0.000754
patentcite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 3.0962014198303223, 0.001472
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 1.1630117893218994, 0.004037
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.8559367656707764, 0.000257
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.7867953777313232, 0.000169
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4882051944732666, 0.001724
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.32706117630004883, 0.000769
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.3306894302368164, 0.000629
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.6119825839996338, 0.001429
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.37523412704467773, 6.3e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.5192077159881592, 0.000927
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.3709530830383301, 0.000408
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.3602559566497803, 0.001016
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.8337681293487549, 7.1e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.35423874855041504, 0.000284
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.4905264377593994, 0.004223
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.3888537883758545, 0.001304
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.41480231285095215, 0.004723
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.32967519760131836, 6.2e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.5033230781555176, 0.007098
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.3712325096130371, 0.0009
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.33320069313049316, 0.000308
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.6352674961090088, 7.2e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.41195225715637207, 0.00099
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.4056277275085449, 0.003663
