dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8440365791320801, 0.001952
douban DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5410702228546143, 0.00033
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.44324374198913574, 0.00014
github DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5723180770874023, 0.001429
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5443036556243896, 0.000239
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2998983860015869, 9.8e-05
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6583209037780762, 0.000102
patentcite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.0459468364715576, 0.001757
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5999400615692139, 0.00038
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5535969734191895, 0.000538
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7091562747955322, 0.000109
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.23734307289123535, 0.000123
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3359251022338867, 0.000124
sx-stackoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8157570362091064, 0.004246
dblp-cite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.26311492919921875, 0.000702
dbpedia-team DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.26855969429016113, 0.000241
dimacs9-E DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 28.14841628074646, 2.56024
douban DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5432589054107666, 0.000742
facebook-wosn-wall DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5115587711334229, 9e-05
github DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5691335201263428, 0.000976
komarix-imdb DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8742644786834717, 0.000846
moreno_blogs DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.36045384407043457, 0.000367
opsahl-usairport DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.48468446731567383, 0.000464
patentcite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8606328964233398, 0.000187
petster-friendships-dog DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7296879291534424, 0.002435
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.2243945598602295, 0.001732
subelj_cora DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5541341304779053, 0.001597
sx-mathoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.35756826400756836, 0.000545
youtube-groupmemberships DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9250595569610596, 0.000968
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.7194225788116455, 0.001317
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.6748664379119873, 0.000108
douban ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.7244255542755127, 0.000125
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.44112229347229004, 6.5e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.7188723087310791, 0.004909
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.4732203483581543, 0.000925
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.46478819847106934, 0.001763
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5227985382080078, 7.4e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.4354822635650635, 0.000972
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5471508502960205, 0.00443
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5025007724761963, 0.005787
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.0735359191894531, 0.046021
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4207456111907959, 0.002034
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6532814502716064, 0.006285
