dbpedia-team DensePull, serial, bitvector, static-parallel, 0, 0.08385157585144043
dimacs9-E DensePull, serial, bitvector, static-parallel, 0, 153.74420619010925
douban DensePull, serial, bitvector, static-parallel, 0, 0.06085610389709473
facebook-wosn-wall DensePull, serial, bitvector, static-parallel, 0, 0.03817033767700195
github DensePull, serial, bitvector, static-parallel, 0, 0.05573463439941406
komarix-imdb DensePull, serial, bitvector, static-parallel, 0, 0.35211634635925293
moreno_blogs DensePull, serial, bitvector, static-parallel, 0, 0.05032610893249512
opsahl-usairport DensePull, serial, bitvector, static-parallel, 0, 0.0441286563873291
patentcite DensePull, serial, bitvector, static-parallel, 0, 1.5559666156768799
petster-friendships-dog DensePull, serial, bitvector, static-parallel, 0, 0.09852075576782227
roadNet-CA DensePull, serial, bitvector, static-parallel, 0, 0.1123800277709961
subelj_cora DensePull, serial, bitvector, static-parallel, 0, 0.048409223556518555
sx-mathoverflow DensePull, serial, bitvector, static-parallel, 0, 0.16110491752624512
youtube-groupmemberships DensePull, serial, bitvector, static-parallel, 0, 0.18236207962036133
sx-stackoverflow DensePull, serial, bitvector, dynamic-parallel, 0, 0.8967387676239014
dblp-cite DensePull, serial, bitvector, dynamic-parallel, 0, 0.05451321601867676
dbpedia-team DensePull, serial, bitvector, dynamic-parallel, 0, 0.07256841659545898
dimacs9-E DensePull, serial, bitvector, dynamic-parallel, 0, 153.30315113067627
douban DensePull, serial, bitvector, dynamic-parallel, 0, 0.08566951751708984
facebook-wosn-wall DensePull, serial, bitvector, dynamic-parallel, 0, 0.0474085807800293
github DensePull, serial, bitvector, dynamic-parallel, 0, 0.07151055335998535
komarix-imdb DensePull, serial, bitvector, dynamic-parallel, 0, 0.15496611595153809
moreno_blogs DensePull, serial, bitvector, dynamic-parallel, 0, 0.2601358890533447
opsahl-usairport DensePull, serial, bitvector, dynamic-parallel, 0, 0.04421591758728027
patentcite DensePull, serial, bitvector, dynamic-parallel, 0, 1.0823259353637695
petster-friendships-dog DensePull, serial, bitvector, dynamic-parallel, 0, 0.21569204330444336
roadNet-CA DensePull, serial, bitvector, dynamic-parallel, 0, 0.1325216293334961
subelj_cora DensePull, serial, bitvector, dynamic-parallel, 0, 1.443448781967163
sx-mathoverflow DensePull, serial, bitvector, dynamic-parallel, 0, 0.03132319450378418
youtube-groupmemberships DensePull, serial, bitvector, dynamic-parallel, 0, 0.05019807815551758
sx-stackoverflow DensePull, serial, boolean-array, false, 0, 1.1146175861358643
dblp-cite DensePull, serial, boolean-array, false, 0, 0.052790164947509766
dbpedia-team DensePull, serial, boolean-array, false, 0, 0.08565306663513184
dimacs9-E DensePull, serial, boolean-array, false, 0, 148.43878412246704
douban DensePull, serial, boolean-array, false, 0, 0.30547261238098145
facebook-wosn-wall DensePull, serial, boolean-array, false, 0, 0.056333303451538086
github DensePull, serial, boolean-array, false, 0, 0.06202292442321777
komarix-imdb DensePull, serial, boolean-array, false, 0, 0.35923290252685547
moreno_blogs DensePull, serial, boolean-array, false, 0, 0.027186870574951172
opsahl-usairport DensePull, serial, boolean-array, false, 0, 0.027275800704956055
patentcite DensePull, serial, boolean-array, false, 0, 1.2109954357147217
petster-friendships-dog DensePull, serial, boolean-array, false, 0, 0.11893868446350098
roadNet-CA DensePull, serial, boolean-array, false, 0, 0.2703585624694824
subelj_cora DensePull, serial, boolean-array, false, 0, 0.048539161682128906
sx-mathoverflow DensePull, serial, boolean-array, false, 0, 0.027930021286010742
youtube-groupmemberships DensePull, serial, boolean-array, false, 0, 0.023736953735351562
sx-stackoverflow DensePull, serial, boolean-array, false, 2, 1.5187196731567383
dblp-cite DensePull, serial, boolean-array, false, 2, 0.233778715133667
dbpedia-team DensePull, serial, boolean-array, false, 2, 0.08628034591674805
dimacs9-E DensePull, serial, boolean-array, false, 2, 151.6035120487213
douban DensePull, serial, boolean-array, false, 2, 0.06964397430419922
facebook-wosn-wall DensePull, serial, boolean-array, false, 2, 0.0633687973022461
github DensePull, serial, boolean-array, false, 2, 0.4216582775115967
komarix-imdb DensePull, serial, boolean-array, false, 2, 0.18392348289489746
moreno_blogs DensePull, serial, boolean-array, false, 2, 0.0249786376953125
opsahl-usairport DensePull, serial, boolean-array, false, 2, 0.21209263801574707
patentcite DensePull, serial, boolean-array, false, 2, 1.3785123825073242
petster-friendships-dog DensePull, serial, boolean-array, false, 2, 0.22185325622558594
roadNet-CA DensePull, serial, boolean-array, false, 2, 0.29346156120300293
subelj_cora DensePull, serial, boolean-array, false, 2, 0.26738548278808594
sx-mathoverflow DensePull, serial, boolean-array, false, 2, 0.03889036178588867
youtube-groupmemberships DensePull, serial, boolean-array, false, 2, 0.03373074531555176
sx-stackoverflow DensePull, serial, boolean-array, false, 4, 1.4789178371429443
dblp-cite DensePull, serial, boolean-array, false, 4, 0.46852874755859375
dbpedia-team DensePull, serial, boolean-array, false, 4, 0.0810084342956543
dimacs9-E DensePull, serial, boolean-array, false, 4, 155.3788981437683
douban DensePull, serial, boolean-array, false, 4, 0.06805944442749023
facebook-wosn-wall DensePull, serial, boolean-array, false, 4, 0.04761767387390137
github DensePull, serial, boolean-array, false, 4, 0.0772097110748291
komarix-imdb DensePull, serial, boolean-array, false, 4, 0.2206413745880127
moreno_blogs DensePull, serial, boolean-array, false, 4, 0.033833980560302734
opsahl-usairport DensePull, serial, boolean-array, false, 4, 0.030010700225830078
patentcite DensePull, serial, boolean-array, false, 4, 1.5155565738677979
petster-friendships-dog DensePull, serial, boolean-array, false, 4, 0.2528200149536133
roadNet-CA DensePull, serial, boolean-array, false, 4, 0.2931339740753174
subelj_cora DensePull, serial, boolean-array, false, 4, 0.056728363037109375
sx-mathoverflow DensePull, serial, boolean-array, false, 4, 0.22083830833435059
youtube-groupmemberships DensePull, serial, boolean-array, false, 4, 0.04368782043457031
sx-stackoverflow DensePull, serial, boolean-array, false, 6, 1.643075942993164
dblp-cite DensePull, serial, boolean-array, false, 6, 0.03767800331115723
dbpedia-team DensePull, serial, boolean-array, false, 6, 0.22481632232666016
dimacs9-E DensePull, serial, boolean-array, false, 6, 158.00724148750305
douban DensePull, serial, boolean-array, false, 6, 0.06611204147338867
facebook-wosn-wall DensePull, serial, boolean-array, false, 6, 0.04915571212768555
github DensePull, serial, boolean-array, false, 6, 0.07720565795898438
komarix-imdb DensePull, serial, boolean-array, false, 6, 0.41944098472595215
moreno_blogs DensePull, serial, boolean-array, false, 6, 0.0276949405670166
