sx-mathoverflow DensePull, static-vertex-parallel, boolean-array, false, 0, 0.9369101524353027
youtube-groupmemberships DensePull, static-vertex-parallel, boolean-array, false, 0, 1.136514663696289
sx-stackoverflow DensePull, static-vertex-parallel, bitvector, false, 0, 9.691749095916748
dblp-cite DensePull, static-vertex-parallel, bitvector, false, 0, 0.6571805477142334
dbpedia-team DensePull, static-vertex-parallel, bitvector, false, 0, 0.40468668937683105
dimacs9-E DensePull, static-vertex-parallel, bitvector, false, 0, 5.8553290367126465
douban DensePull, static-vertex-parallel, bitvector, false, 0, 0.11551666259765625
facebook-wosn-wall DensePull, static-vertex-parallel, bitvector, false, 0, 0.8081254959106445
github DensePull, static-vertex-parallel, bitvector, false, 0, 1.0605199337005615
komarix-imdb DensePull, static-vertex-parallel, bitvector, false, 0, 0.8613893985748291
moreno_blogs DensePull, static-vertex-parallel, bitvector, false, 0, 0.9434986114501953
opsahl-usairport DensePull, static-vertex-parallel, bitvector, false, 0, 1.046334981918335
patentcite DensePull, static-vertex-parallel, bitvector, false, 0, 2.982733726501465
petster-friendships-dog DensePull, static-vertex-parallel, bitvector, false, 0, 1.7874338626861572
roadNet-CA DensePull, static-vertex-parallel, bitvector, false, 0, 0.6614859104156494
subelj_cora DensePull, static-vertex-parallel, bitvector, false, 0, 0.052865028381347656
sx-mathoverflow DensePull, static-vertex-parallel, bitvector, false, 0, 1.0486750602722168
youtube-groupmemberships DensePull, static-vertex-parallel, bitvector, false, 0, 0.09494304656982422
sx-stackoverflow DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 11.165501594543457
dblp-cite DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.043274879455566406
dbpedia-team DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.5019927024841309
dimacs9-E DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 76.6858696937561
douban DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.1059718132019043
facebook-wosn-wall DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.1917407512664795
github DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.14207005500793457
komarix-imdb DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.3317992687225342
moreno_blogs DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.4332706928253174
opsahl-usairport DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.11542320251464844
patentcite DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 2.8621420860290527
petster-friendships-dog DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.6465888023376465
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.5021743774414062
subelj_cora DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.06715250015258789
sx-mathoverflow DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.22460651397705078
youtube-groupmemberships DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.10888791084289551
sx-stackoverflow DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 9.934812307357788
