TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.9869048595428467
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.9805740714073181
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.9895994067192078
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.9892045855522156
ValidEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  0.9727221727371216
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  1.0028271675109863
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.991722822189331
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  0.9874988794326782
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  0.9176702499389648
ValidEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.9786038994789124
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  0.9603207111358643
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.9551517367362976
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.9886068105697632
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  0.9710771441459656
ValidEpoch:  1 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.980301022529602
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.9575788974761963
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  1.000055193901062
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  1.0067096948623657
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  0.9223840236663818
ValidEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.9703534245491028
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.9218717813491821
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.9347102642059326
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.9328484535217285
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  3 , TrainLoss:  0.8650780916213989
ValidEpoch:  1 , Graph:  ['patentcite'] , Schedule :  0 , ValidLoss:  0.933573305606842
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.9473943114280701
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.9506164193153381
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.9272929430007935
