TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  1.0036565065383911
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  1.004508137702942
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  1.028615117073059
ValidEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  0.8186229467391968
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.6474963426589966
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.5067784190177917
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.7663782238960266
TrainEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.590984046459198
ValidEpoch:  1 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  0.5638911724090576
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  0.8522200584411621
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  0.7876764535903931
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.7800750136375427
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  1.5715546607971191
ValidEpoch:  1 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.6150090098381042
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.7613537311553955
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.584337592124939
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.699804425239563
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.2946184575557709
ValidEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.6355703473091125
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.7672563195228577
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.8813987970352173
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.7914232611656189
TrainEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  1.3888177871704102
ValidEpoch:  1 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.8315783739089966
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  0.6295666694641113
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  0.7121846675872803
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.6779226064682007
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  3 , TrainLoss:  0.8943211436271667
ValidEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule :  0 , ValidLoss:  0.6579427123069763
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.6004229784011841
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.7493656873703003
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.8287285566329956
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  1.0193066596984863
ValidEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.7810061573982239
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.593402087688446
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.6408319473266602
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.6828212141990662
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  0.4213907718658447
ValidEpoch:  1 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  0.8180912733078003
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.7453001141548157
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.7164045572280884
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.7926712036132812
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  0.6181658506393433
ValidEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.7580958008766174
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  0.6501087546348572
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.8691402673721313
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.8881787061691284
TrainEpoch:  1 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  1.0093419551849365
ValidEpoch:  1 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.601027250289917
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.5216208100318909
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.36809244751930237
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.4338967502117157
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  0.5070898532867432
ValidEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  0.24727360904216766
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  0.8020011782646179
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  0.8536738157272339
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  0.7746626138687134
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  0.5611980557441711
ValidEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  0.9153727889060974
--- Epoch 1 : Train 0.7227515885606408 Valid 0.694659466855228 ---
save over.
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  0.7264726758003235
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  0.7576280832290649
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.7751070857048035
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  0.82110595703125
ValidEpoch:  2 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.6416350603103638
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  1.1285276412963867
