orkut-links,ENABLED,TWCE,None,0,PULL,ENABLED,FUSED,BITMAP,15.6354501247406,0.008755
roadNet-CA,ENABLED,TWCE,None,0,PULL,ENABLED,FUSED,BITMAP,0.31932497024536133,0.00074
youtube-u-growth,ENABLED,WM,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,0.9739964008331299,0.00623
dblp_coauthor,ENABLED,WM,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,1.8446910381317139,0.011674
soc-LiveJournal1,ENABLED,WM,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,8.52534818649292,0.043487
orkut-links,ENABLED,WM,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,15.912388324737549,0.015021
roadNet-CA,ENABLED,WM,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,0.30021119117736816,0.000332
youtube-u-growth,ENABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BOOLMAP,BITMAP,0.9281444549560547,0.002406
dblp_coauthor,ENABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BOOLMAP,BITMAP,1.836611270904541,0.013335
soc-LiveJournal1,ENABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BOOLMAP,BITMAP,8.564414024353027,0.037333
orkut-links,ENABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BOOLMAP,BITMAP,15.87705945968628,0.009186
roadNet-CA,ENABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BOOLMAP,BITMAP,0.31542301177978516,0.000807
youtube-u-growth,ENABLED,WM,None,0,PUSH,ENABLED,FUSED,None,0.47139954566955566,0.015871
dblp_coauthor,ENABLED,WM,None,0,PUSH,ENABLED,FUSED,None,0.396697998046875,0.005535
soc-LiveJournal1,ENABLED,WM,None,0,PUSH,ENABLED,FUSED,None,1.0041866302490234,0.01697
orkut-links,ENABLED,WM,None,0,PUSH,ENABLED,FUSED,None,1.738356351852417,0.037721
roadNet-CA,ENABLED,WM,None,0,PUSH,ENABLED,FUSED,None,0.2962825298309326,0.008311
youtube-u-growth,DISABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,1.1024317741394043,0.017349
dblp_coauthor,DISABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,1.8754839897155762,0.011132
soc-LiveJournal1,DISABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,8.246565818786621,0.029204
orkut-links,DISABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,15.502522230148315,0.028992
roadNet-CA,DISABLED,TWCE,None,0,PULL,DISABLED,UNFUSED_BITMAP,BOOLMAP,1.4798352718353271,0.115605
youtube-u-growth,ENABLED,TWC,None,0,PULL,DISABLED,FUSED,BITMAP,0.9073073863983154,0.001285
dblp_coauthor,ENABLED,TWC,None,0,PULL,DISABLED,FUSED,BITMAP,1.815398931503296,0.009312
soc-LiveJournal1,ENABLED,TWC,None,0,PULL,DISABLED,FUSED,BITMAP,8.518695831298828,0.02894
orkut-links,ENABLED,TWC,None,0,PULL,DISABLED,FUSED,BITMAP,15.659158706665039,0.006841
roadNet-CA,ENABLED,TWC,None,0,PULL,DISABLED,FUSED,BITMAP,0.2974059581756592,0.000418
youtube-u-growth,DISABLED,WM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.3892862796783447,0.009687
dblp_coauthor,DISABLED,WM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.3589181900024414,0.00228
soc-LiveJournal1,DISABLED,WM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.9080514907836914,0.008358
orkut-links,DISABLED,WM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,1.3441805839538574,0.012372
roadNet-CA,DISABLED,WM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.36589765548706055,0.014927
youtube-u-growth,DISABLED,VERTEX_BASED,None,0,PULL,ENABLED,FUSED,BOOLMAP,3.322364568710327,0.235258
dblp_coauthor,DISABLED,VERTEX_BASED,None,0,PULL,ENABLED,FUSED,BOOLMAP,1.866553783416748,0.014271
