roadNet-CA DensePush-SparsePush, serial, boolean-array, false, 0, 0.3272850513458252, 0.000349
youtube-u-growth DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.1832358837127686, 0.049109
dblp_coauthor DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.8601772785186768, 0.037937
soc-LiveJournal1 DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 8.91818118095398, 0.152617
orkut-links DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 14.267892360687256, 0.234454
roadNet-CA DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.32746005058288574, 0.000394
youtube-u-growth DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.1728155612945557, 0.046541
dblp_coauthor DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 3.8666107654571533, 0.038538
soc-LiveJournal1 DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 8.9252610206604, 0.170362
orkut-links DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 14.264724254608154, 0.205041
roadNet-CA DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.3288111686706543, 0.000387
youtube-u-growth DensePull, serial, boolean-array, false, 5, 1.774315357208252, 0.568694
dblp_coauthor DensePull, serial, boolean-array, false, 5, 4.600202322006226, 0.663243
soc-LiveJournal1 DensePull, serial, boolean-array, false, 5, 11.898115634918213, 2.73187
orkut-links DensePull, serial, boolean-array, false, 5, 16.54329752922058, 1.85313
roadNet-CA DensePull, serial, boolean-array, false, 5, 0.5876443386077881, 0.239574
youtube-u-growth DensePull, serial, bitvector, false, 5, 1.7200756072998047, 0.509841
dblp_coauthor DensePull, serial, bitvector, false, 5, 4.551458120346069, 0.609098
soc-LiveJournal1 DensePull, serial, bitvector, false, 5, 11.25026798248291, 2.07289
orkut-links DensePull, serial, bitvector, false, 5, 16.319382429122925, 1.66682
roadNet-CA DensePull, serial, bitvector, false, 5, 0.5978853702545166, 0.250928
youtube-u-growth DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 1.2719755172729492, 0.06355
dblp_coauthor DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 4.050602912902832, 0.094842
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 9.550487041473389, 0.43304
orkut-links DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 14.908934354782104, 0.243371
roadNet-CA DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 0.3698737621307373, 0.02152
youtube-u-growth DensePull, dynamic-vertex-parallel, bitvector, false, 5, 1.2712397575378418, 0.066084
dblp_coauthor DensePull, dynamic-vertex-parallel, bitvector, false, 5, 4.035477161407471, 0.101294
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, bitvector, false, 5, 9.513197422027588, 0.362707
orkut-links DensePull, dynamic-vertex-parallel, bitvector, false, 5, 14.92454981803894, 0.247708
roadNet-CA DensePull, dynamic-vertex-parallel, bitvector, false, 5, 0.3738856315612793, 0.025822
youtube-u-growth DensePull, static-vertex-parallel, boolean-array, false, 5, 1.2756726741790771, 0.063503
dblp_coauthor DensePull, static-vertex-parallel, boolean-array, false, 5, 4.030548334121704, 0.096466
soc-LiveJournal1 DensePull, static-vertex-parallel, boolean-array, false, 5, 9.577569007873535, 0.411488
orkut-links DensePull, static-vertex-parallel, boolean-array, false, 5, 14.926971912384033, 0.240174
roadNet-CA DensePull, static-vertex-parallel, boolean-array, false, 5, 0.37018299102783203, 0.021482
youtube-u-growth DensePull, static-vertex-parallel, bitvector, false, 5, 1.2787494659423828, 0.066189
dblp_coauthor DensePull, static-vertex-parallel, bitvector, false, 5, 4.064615726470947, 0.103669
soc-LiveJournal1 DensePull, static-vertex-parallel, bitvector, false, 5, 9.531455516815186, 0.351897
orkut-links DensePull, static-vertex-parallel, bitvector, false, 5, 14.998598098754883, 0.242494
roadNet-CA DensePull, static-vertex-parallel, bitvector, false, 5, 0.3735175132751465, 0.025512
youtube-u-growth DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.7865402698516846, 0.586352
dblp_coauthor DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 4.623690128326416, 0.686162
soc-LiveJournal1 DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 11.661063194274902, 2.56018
orkut-links DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 16.596142530441284, 1.91062
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 0.6096043586730957, 0.257948
youtube-u-growth DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 1.766758680343628, 0.559516
dblp_coauthor DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 4.654350996017456, 0.714372
soc-LiveJournal1 DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 11.506746530532837, 2.32552
orkut-links DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 16.58998417854309, 1.91748
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 0.6175055503845215, 0.267535
youtube-u-growth DensePull-SparsePush, serial, boolean-array, false, 5, 1.372511386871338, 0.164596
dblp_coauthor DensePull-SparsePush, serial, boolean-array, false, 5, 4.155889272689819, 0.218786
soc-LiveJournal1 DensePull-SparsePush, serial, boolean-array, false, 5, 10.157676696777344, 0.966609
orkut-links DensePull-SparsePush, serial, boolean-array, false, 5, 15.511626720428467, 0.810354
roadNet-CA DensePull-SparsePush, serial, boolean-array, false, 5, 0.3481154441833496, 0.000852
youtube-u-growth DensePull-SparsePush, serial, bitvector, false, 5, 1.3609647750854492, 0.152987
dblp_coauthor DensePull-SparsePush, serial, bitvector, false, 5, 4.157772064208984, 0.211055
soc-LiveJournal1 DensePull-SparsePush, serial, bitvector, false, 5, 10.030557632446289, 0.850299
orkut-links DensePull-SparsePush, serial, bitvector, false, 5, 15.542531251907349, 0.79757
roadNet-CA DensePull-SparsePush, serial, bitvector, false, 5, 0.3494694232940674, 0.000686
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 1.2280025482177734, 0.023538
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 3.973987579345703, 0.038803
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 9.416270971298218, 0.205715
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 14.848778009414673, 0.14069
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 0.3512098789215088, 0.000825
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 1.2344975471496582, 0.022362
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 3.995086669921875, 0.0383
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 9.369943857192993, 0.190853
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 14.889708280563354, 0.134788
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 0.34916234016418457, 0.000812
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 1.240243673324585, 0.023184
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 3.9787464141845703, 0.039898
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 9.337662696838379, 0.224707
orkut-links DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 14.826131582260132, 0.143814
roadNet-CA DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 0.3490562438964844, 0.000769
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 1.2332854270935059, 0.023592
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 3.9716055393218994, 0.038279
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 9.38267183303833, 0.178182
orkut-links DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 14.77445387840271, 0.133726
roadNet-CA DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 0.35239410400390625, 0.000875
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.4005699157714844, 0.185534
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 4.172968149185181, 0.220032
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 10.26155710220337, 1.08208
orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 15.414201736450195, 0.794438
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 0.3491532802581787, 0.000743
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 1.3808677196502686, 0.16917
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 4.169332504272461, 0.214381
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 10.091193675994873, 0.917217
