soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 8.646338701248169, 0.299472
orkut-links SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 13.713885307312012, 0.128204
roadNet-CA SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 0.32036590576171875, 0.004748
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.2022466659545898, 0.119832
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 3.8109333515167236, 0.196023
soc-LiveJournal1 SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 9.188482284545898, 0.842372
orkut-links SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 14.593616962432861, 1.04243
roadNet-CA SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.335451602935791, 0.020506
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.1834425926208496, 0.099107
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 3.781651258468628, 0.15088
soc-LiveJournal1 SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 9.087172508239746, 0.761426
orkut-links SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 14.40967845916748, 0.885847
roadNet-CA SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3391685485839844, 0.021216
youtube-u-growth DensePush-SparsePush, serial, boolean-array, false, 0, 1.193997859954834, 0.116689
dblp_coauthor DensePush-SparsePush, serial, boolean-array, false, 0, 3.811561107635498, 0.170899
soc-LiveJournal1 DensePush-SparsePush, serial, boolean-array, false, 0, 9.064614534378052, 0.743782
orkut-links DensePush-SparsePush, serial, boolean-array, false, 0, 14.625507831573486, 1.13243
roadNet-CA DensePush-SparsePush, serial, boolean-array, false, 0, 0.3423464298248291, 0.025532
youtube-u-growth DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.1510906219482422, 0.068466
dblp_coauthor DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.71701979637146, 0.071652
soc-LiveJournal1 DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 8.569798946380615, 0.231605
orkut-links DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 13.824942350387573, 0.354488
roadNet-CA DensePush-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3229498863220215, 0.007685
youtube-u-growth DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.1446266174316406, 0.064087
dblp_coauthor DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 3.693274736404419, 0.0689
soc-LiveJournal1 DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 8.614996433258057, 0.265739
orkut-links DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 13.872676134109497, 0.379566
roadNet-CA DensePush-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.324019193649292, 0.007698
youtube-u-growth DensePull, serial, boolean-array, false, 5, 1.2413959503173828, 0.085641
dblp_coauthor DensePull, serial, boolean-array, false, 5, 4.214801073074341, 0.476044
soc-LiveJournal1 DensePull, serial, boolean-array, false, 5, 9.964778900146484, 1.20646
orkut-links DensePull, serial, boolean-array, false, 5, 14.79959774017334, 0.807856
roadNet-CA DensePull, serial, boolean-array, false, 5, 0.35628747940063477, 0.018993
youtube-u-growth DensePull, serial, bitvector, false, 5, 1.229851245880127, 0.078628
dblp_coauthor DensePull, serial, bitvector, false, 5, 4.1572654247283936, 0.389252
soc-LiveJournal1 DensePull, serial, bitvector, false, 5, 9.825873613357544, 1.06916
orkut-links DensePull, serial, bitvector, false, 5, 14.688078165054321, 0.67743
roadNet-CA DensePull, serial, bitvector, false, 5, 0.35804104804992676, 0.019992
youtube-u-growth DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 1.1851296424865723, 0.036906
dblp_coauthor DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 3.8312125205993652, 0.060725
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 9.063039302825928, 0.267151
orkut-links DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 14.17525315284729, 0.140733
roadNet-CA DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 0.36370253562927246, 0.021643
youtube-u-growth DensePull, dynamic-vertex-parallel, bitvector, false, 5, 1.1920998096466064, 0.036189
dblp_coauthor DensePull, dynamic-vertex-parallel, bitvector, false, 5, 3.8101391792297363, 0.057046
soc-LiveJournal1 DensePull, dynamic-vertex-parallel, bitvector, false, 5, 9.017089366912842, 0.211816
orkut-links DensePull, dynamic-vertex-parallel, bitvector, false, 5, 14.197401285171509, 0.128795
roadNet-CA DensePull, dynamic-vertex-parallel, bitvector, false, 5, 0.3547816276550293, 0.014028
youtube-u-growth DensePull, static-vertex-parallel, boolean-array, false, 5, 1.187779426574707, 0.036207
dblp_coauthor DensePull, static-vertex-parallel, boolean-array, false, 5, 3.8277711868286133, 0.062074
soc-LiveJournal1 DensePull, static-vertex-parallel, boolean-array, false, 5, 9.059361934661865, 0.247266
orkut-links DensePull, static-vertex-parallel, boolean-array, false, 5, 14.25901985168457, 0.151483
roadNet-CA DensePull, static-vertex-parallel, boolean-array, false, 5, 0.3627750873565674, 0.021458
youtube-u-growth DensePull, static-vertex-parallel, bitvector, false, 5, 1.1928527355194092, 0.04057
dblp_coauthor DensePull, static-vertex-parallel, bitvector, false, 5, 3.813875436782837, 0.058039
soc-LiveJournal1 DensePull, static-vertex-parallel, bitvector, false, 5, 8.950151681900024, 0.196001
orkut-links DensePull, static-vertex-parallel, bitvector, false, 5, 14.241843938827515, 0.131463
roadNet-CA DensePull, static-vertex-parallel, bitvector, false, 5, 0.36444544792175293, 0.025855
