orkut-links DISABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 15.447329044342041, 7.4e-05
roadNet-CA DISABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.4187173843383789, 0.000203
youtube-u-growth DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.3295962810516357, 0.045786
dblp_coauthor DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.8700861930847168, 0.01683
soc-LiveJournal1 DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 10.060995817184448, 0.102673
orkut-links DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 18.216956853866577, 0.11698
roadNet-CA DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.3213162422180176, 0.003677
youtube-u-growth DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.0303268432617188, 0.014162
dblp_coauthor DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.8851439952850342, 0.015519
soc-LiveJournal1 DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 8.795016288757324, 0.073749
orkut-links DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 16.69503378868103, 0.111733
roadNet-CA DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.32080745697021484, 0.003962
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 4.271395683288574, 0.337873
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 2.0303754806518555, 0.031013
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 10.279629230499268, 0.197316
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 17.133326292037964, 0.185718
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.31763696670532227, 0.003557
youtube-u-growth ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.47977614402770996, 0.021908
dblp_coauthor ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.5395395755767822, 0.021736
soc-LiveJournal1 ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 2.17632794380188, 0.137943
orkut-links ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 2.901750087738037, 0.163478
roadNet-CA ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.2829151153564453, 0.006838
youtube-u-growth DISABLED, CM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 1.090641736984253, 0.014172
dblp_coauthor DISABLED, CM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 1.8649420738220215, 0.015504
soc-LiveJournal1 DISABLED, CM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 8.755990505218506, 0.073786
orkut-links DISABLED, CM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 16.508553743362427, 0.111552
roadNet-CA DISABLED, CM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.30880117416381836, 0.003964
youtube-u-growth DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.8665413856506348, 0.05956
dblp_coauthor DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.5573773384094238, 0.023835
soc-LiveJournal1 DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 2.4650421142578125, 0.163834
orkut-links DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 3.4336414337158203, 0.219086
roadNet-CA DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.25728631019592285, 0.003689
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 2.1352317333221436, 0.187002
