roadNet-CA ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.22990059852600098, 0.001494
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.1387982368469238, 0.02341
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.82277512550354, 0.005035
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 9.216429710388184, 0.020344
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 15.71815037727356, 0.017421
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.3541855812072754, 0.00578
youtube-u-growth DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.340090274810791, 0.00498
dblp_coauthor DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.3553919792175293, 0.003261
soc-LiveJournal1 DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.9087848663330078, 0.008979
orkut-links DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 1.3673145771026611, 0.009907
roadNet-CA DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.22814035415649414, 0.001451
youtube-u-growth ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.32678961753845215, 0.00362
dblp_coauthor ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.36585283279418945, 0.002695
soc-LiveJournal1 ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8822422027587891, 0.006677
orkut-links ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.3794894218444824, 0.00701
roadNet-CA ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.22527432441711426, 0.001366
youtube-u-growth ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.33287858963012695, 0.003586
dblp_coauthor ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.3535959720611572, 0.002761
soc-LiveJournal1 ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.8988869190216064, 0.00837
orkut-links ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.3164761066436768, 0.008462
roadNet-CA ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.22702741622924805, 0.001533
youtube-u-growth ENABLED, TWCE, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.9147241115570068, 0.001143
dblp_coauthor ENABLED, TWCE, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.8485925197601318, 0.012228
soc-LiveJournal1 ENABLED, TWCE, None, 0, PULL, DISABLED, FUSED, BITMAP, 8.769123077392578, 0.03251
orkut-links ENABLED, TWCE, None, 0, PULL, DISABLED, FUSED, BITMAP, 15.946620225906372, 0.00297
roadNet-CA ENABLED, TWCE, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.3100306987762451, 0.000502
youtube-u-growth ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.9244182109832764, 0.001366
dblp_coauthor ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.833852767944336, 0.010145
