SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 1, 3.031751871109009
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 2, 3.0182132720947266
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 3, 3.0330092906951904
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 4, 3.0227255821228027
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 5, 3.0339019298553467
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 6, 3.04001522064209
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 7, 3.0271155834198
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 8, 3.0528619289398193
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 9, 3.044900894165039
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 10, 3.0263659954071045
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 11, 3.0290679931640625
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 12, 3.0076181888580322
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 13, 3.033047676086426
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 14, 3.0235435962677
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 15, 3.026184320449829
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 16, 3.0134999752044678
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 17, 3.0301432609558105
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 18, 3.0129425525665283
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 19, 3.029705047607422
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 20, 3.016871452331543
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 21, 3.0145318508148193
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 22, 3.0248398780822754
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 23, 3.046990394592285
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 24, 3.025491237640381
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 0, 3.0287575721740723
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 1, 3.025692939758301
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 2, 3.043644428253174
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 3, 3.042156219482422
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 4, 3.0212879180908203
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 5, 3.0274107456207275
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 6, 3.013007164001465
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 7, 3.030583620071411
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 8, 3.0254743099212646
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 9, 3.0291502475738525
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 10, 3.02469801902771
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 11, 3.016360282897949
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 12, 3.026327133178711
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 13, 3.021003484725952
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 14, 3.03188419342041
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 15, 3.0422356128692627
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 16, 3.042996406555176
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 17, 3.0107452869415283
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 18, 3.0346484184265137
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 19, 3.0189993381500244
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 20, 3.0325093269348145
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 21, 3.015909433364868
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 22, 3.037958860397339
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 23, 3.0157244205474854
SparsePush, serial, bitvector, eager_priority_update_with_merge, dynamic-parallel, 24, 3.0307230949401855
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 0, 3.025115966796875
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 1, 3.0364229679107666
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 2, 3.044430732727051
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 3, 3.0124378204345703
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 4, 3.0250446796417236
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 5, 3.0303666591644287
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 6, 3.024167776107788
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 7, 3.022036552429199
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 8, 3.011460304260254
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 9, 3.0333893299102783
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 10, 3.033435583114624
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 11, 3.022209644317627
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 12, 3.0376994609832764
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 13, 3.037684440612793
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 14, 3.011263370513916
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 15, 3.0149667263031006
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 16, 3.0215587615966797
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 17, 3.0404438972473145
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 18, 3.0364913940429688
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 19, 3.0185086727142334
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 20, 3.0401978492736816
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 21, 3.0298759937286377
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 22, 3.013406753540039
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 23, 3.027768850326538
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 24, 3.039149761199951
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 0, 3.0212182998657227
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 1, 3.031595468521118
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 2, 3.0185434818267822
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 3, 3.024066925048828
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 4, 3.0187604427337646
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 5, 3.024245023727417
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 6, 3.0255887508392334
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 7, 3.012061595916748
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 8, 3.0235211849212646
SparsePush, serial, boolean-array, eager_priority_update, static-parallel, 9, 3.019681453704834
