DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 4, 0.029118776321411133
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 5, 0.8504281044006348
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 6, 0.9224121570587158
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 7, 0.3568723201751709
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 8, 0.7143898010253906
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 9, 0.8788661956787109
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 10, 0.711219072341919
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 11, 0.05251622200012207
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 12, 0.9734597206115723
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 13, 0.9087104797363281
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 14, 0.9081530570983887
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 15, 0.854802131652832
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 16, 0.9699487686157227
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 17, 0.9346718788146973
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 18, 0.8752586841583252
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 19, 0.9015789031982422
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 20, 0.7075035572052002
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 21, 0.7571537494659424
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 22, 0.7737596035003662
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 23, 0.460817813873291
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 24, 0.9700477123260498
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, static-parallel, 1, 0.968930721282959
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, static-parallel, 1, 0.995126485824585
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 1, 0.9208495616912842
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 2, 0.9936866760253906
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 3, 0.6199524402618408
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 4, 0.8895044326782227
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 5, 0.9704515933990479
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 6, 0.9506649971008301
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 7, 0.9139103889465332
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 8, 0.9662215709686279
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 9, 0.6213860511779785
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 10, 0.029164791107177734
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 11, 0.6981992721557617
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 12, 0.5879640579223633
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 13, 0.94036865234375
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 14, 0.9511258602142334
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 15, 0.02740788459777832
